,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,Orank,Drank,Nrank,PaceRank
0,Boston Celtics,27.4,57,25,57,25,6.52,-0.15,6.38,118.0,111.5,+6.5,98.5,2,3,1,23
1,Cleveland Cavaliers,25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,+5.5,95.7,8,1,2,13
2,Philadelphia 76ers,28.2,54,28,52,30,4.32,0.06,4.37,117.7,113.3,+4.4,96.9,4,8,3,16
3,Memphis Grizzlies,24.4,51,31,51,31,3.94,-0.34,3.60,115.1,111.2,+3.9,101.1,14,2,4,7
4,Milwaukee Bucks,29.8,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,+3.5,100.5,12,4,5,2
5,Denver Nuggets,26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,+3.4,98.1,5,14,6,20
6,New York Knicks,24.5,47,35,48,34,2.93,0.06,2.99,117.8,114.8,+3.0,97.1,3,19,7,17
7,Sacramento Kings,25.4,48,34,47,35,2.65,-0.35,2.30,119.4,116.8,+2.6,100.3,1,25,8,1
8,Phoenix Suns,28.1,45,37,46,36,2.07,0.01,2.08,115.1,113.0,+2.1,98.2,14,7,9,21
9,New Orleans Pelicans,25.9,42,40,46,36,1.89,-0.26,1.63,114.4,112.5,+1.9,99.1,21,6,10,29
10,Golden State Warriors,27.3,44,38,45,37,1.80,-0.15,1.66,116.1,114.4,+1.7,101.6,8,17,11,11
11,Toronto Raptors,25.8,41,41,45,37,1.48,0.12,1.59,115.5,114.0,+1.5,97.1,11,12,12,17
12,Chicago Bulls,27.5,40,42,44,38,1.29,0.07,1.37,113.5,112.2,+1.3,98.5,24,5,13,23
13,Oklahoma City Thunder,22.8,40,42,44,38,1.09,-0.12,0.96,115.2,114.2,+1.0,101.1,13,14,14,7
14,Brooklyn Nets,28.0,45,37,43,39,0.85,0.18,1.03,115.0,114.1,+0.9,98.3,16,13,15,22
15,Los Angeles Lakers,27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,+0.6,101.3,20,11,16,10
16,LA Clippers,29.7,44,38,42,40,0.50,-0.19,0.31,115.0,114.5,+0.5,98.0,16,18,17,19
17,Atlanta Hawks,24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,+0.3,100.7,7,22,18,4
18,Dallas Mavericks,27.8,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,+0.1,96.6,6,23,19,15
19,Minnesota Timberwolves,25.8,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101.0,23,10,20,6
20,Miami Heat,27.7,44,38,40,42,-0.32,0.18,-0.13,113.0,113.3,-0.3,96.3,25,8,21,14
21,Utah Jazz,26.5,37,45,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,10,23,22,2
22,Washington Wizards,26.2,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.5,21,21,23,23
23,Orlando Magic,23.1,34,48,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,26,14,24,30
24,Indiana Pacers,24.5,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,19,26,25,7
25,Portland Trail Blazers,25.1,33,49,31,51,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,18,27,26,26
26,Charlotte Hornets,25.3,27,55,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,30,20,27,5
27,Houston Rockets,22.1,22,60,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99.0,27,29,28,27
28,Detroit Pistons,24.1,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,28,28,29,27
29,San Antonio Spurs,23.9,22,60,19,63,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,29,30,30,11
